Run started at:  2/12/2009 2:41:33 PM
Event	Real Time (min)	Lifetime (microsec)
1	     0.13	 1.8100
2	     0.82	 0.9560
3	     0.91	 0.1920
4	     1.67	 4.4310
5	     2.10	 1.8920
6	     2.82	16.5340
7	     5.43	 0.7510
8	     5.62	 4.9980
9	     5.93	 0.9100
10	     6.61	 1.8060
11	     6.63	 2.2400
12	     7.32	 0.2200
13	     8.63	 0.6700
14	     9.29	12.7390
15	     9.49	 1.8660
16	     9.58	 1.3090
17	     9.60	 0.1810
18	     9.94	 0.1120
19	    10.30	 0.8600
20	    10.71	 7.2950
21	    12.15	 1.2100
22	    12.69	 0.8260
23	    12.83	 0.5900
24	    12.89	 0.1170
25	    13.06	 4.2810
26	    13.73	 0.8490
27	    13.87	 1.7600
28	    14.10	 1.4110
29	    14.19	 0.1210
30	    14.23	 0.5100
31	    14.47	12.1200
32	    14.66	 1.3200
33	    14.70	 0.1190
34	    14.98	 3.1170
35	    15.61	 0.1700
36	    16.53	 0.3720
37	    16.62	 1.0830
38	    16.73	 0.4020
39	    17.17	 5.2800
40	    17.19	 4.0930
41	    17.67	 3.0710
42	    18.26	 3.5470
43	    18.33	 1.8090
44	    18.40	 4.2900
45	    19.25	 1.0000
46	    20.12	 0.2200
47	    20.23	 3.1210
48	    20.50	 7.4570
49	    20.99	 0.8200
50	    21.08	 0.5170
51	    22.04	 0.7310
52	    22.50	 1.1750
53	    23.14	 2.5540
54	    23.28	 1.0680
55	    23.50	 3.3300
56	    23.59	 1.0200
57	    23.93	 0.4900
58	    25.22	 0.8800
59	    25.33	 4.2500
60	    25.72	 7.4100
61	    25.94	 1.9400
62	    26.18	 0.4730
63	    26.25	 1.1120
64	    27.19	 0.5090
65	    27.79	 7.2310
66	    28.16	 7.9440
67	    28.35	 0.9500
68	    28.92	 1.9000
69	    30.08	 2.1000
70	    30.42	 3.4900
71	    30.63	 0.7840
72	    31.15	 1.3590
73	    31.49	 6.6100
74	    32.50	 2.1060
75	    34.96	 0.9900
76	    35.45	 5.3740
77	    35.78	 0.1880
78	    36.47	17.6100
79	    36.91	 2.7600
80	    37.00	 1.5000
81	    38.07	 1.4500
82	    39.11	 4.4800
83	    39.34	 4.7000
84	    39.36	 6.2430
85	    39.88	 0.4350
86	    40.02	 3.5530
87	    41.35	 1.9980
88	    41.42	 0.5110
89	    41.56	 5.0300
90	    42.00	 6.9200
91	    42.09	 3.0770
92	    42.18	 2.7400
93	    42.24	 0.7770
94	    43.31	 3.3290
95	    44.50	 3.5100
96	    44.78	 1.5600
97	    45.19	 2.9200
98	    45.24	 8.9050
99	    46.00	 3.6750
100	    46.27	 1.1890
101	    46.33	 5.3870
102	    46.84	 1.8190
103	    46.89	 0.2810
104	    47.92	 0.2000
105	    48.09	 5.4050
106	    48.23	 0.1790
107	    48.55	 5.3400
108	    48.66	 5.5890
109	    49.03	 3.9500
110	    49.71	 1.4300
111	    50.01	 0.2190
112	    50.11	 6.0990
113	    50.30	 5.5400
114	    50.57	 0.9650
115	    51.25	 0.5930
116	    51.87	 0.6600
117	    53.15	 0.3190
118	    53.39	 1.2100
119	    53.54	 6.3400
120	    53.65	 3.2710
121	    53.77	 1.7730
122	    53.91	 0.8400
123	    54.54	 1.1010
124	    54.73	 0.1180
125	    54.85	 1.1000
126	    55.46	 2.0790
127	    56.13	 0.1200
128	    56.70	 1.5400
129	    57.20	 0.7910
130	    57.74	 0.6500
131	    58.76	 1.1100
132	    59.04	 2.3010
133	    60.04	 9.5360
134	    60.60	 3.9430
135	    61.08	 2.3080
136	    61.42	 1.7090
137	    61.44	 0.3330
138	    61.60	 0.3600
139	    61.77	 3.1010
140	    61.82	 0.2000
141	    62.08	 1.6480
142	    62.47	 3.2900
143	    62.93	 1.8450
144	    64.20	 3.1900
145	    64.29	 6.9500
146	    64.48	 0.5100
147	    64.72	 1.1000
148	    65.10	 1.8090
149	    66.11	 4.3300
150	    66.95	 0.8400
151	    67.30	 2.5400
152	    67.51	 1.4780
153	    68.03	 4.8000
154	    68.56	 1.1120
155	    68.58	 2.3610
156	    68.79	 0.2580
157	    68.83	 0.5700
158	    69.15	 0.4310
159	    69.20	 3.1200
160	    69.75	 1.7100
161	    70.20	 2.1800
162	    70.34	 2.1430
163	    71.32	 1.1300
164	    71.99	 0.5010
165	    72.20	 0.3100
166	    72.74	 2.5930
167	    72.84	 2.2770
168	    73.17	 0.1200
169	    74.28	 0.1500
170	    74.50	 2.3900
171	    74.54	 0.8940
172	    75.25	 1.7100
173	    75.35	 0.9590
174	    77.28	 0.5240
175	    77.60	 1.5490
176	    77.64	 2.3610
177	    78.10	 2.1900
179	    78.39	 0.1120
180	    78.53	 1.2440
181	    80.56	 2.4300
182	    80.62	 0.4240
183	    80.68	 0.5300
184	    80.87	 5.6100
185	    80.95	 2.2190
186	    81.55	 2.2250
187	    82.54	 5.6890
188	    82.69	 0.5310
189	    83.14	 2.6110
190	    83.43	 5.8000
191	    84.18	 0.2050
192	    84.24	 1.2840
193	    84.28	 0.2600
194	    85.24	 0.1300
195	    85.54	 1.4200
196	    85.63	 1.3240
197	    85.81	 3.5100
198	    85.93	 0.7610
199	    86.34	 1.2030
200	    87.01	 0.1490
201	    87.03	 0.1200
202	    87.29	 0.3620
203	    87.80	 0.6510
204	    88.22	 1.4820
205	    88.55	 0.1500
206	    89.84	 0.1150
207	    90.33	 0.4720
208	    90.60	 0.3400
209	    91.48	 1.4000
210	    92.04	 4.8900
211	    93.03	 0.1600
212	    93.13	 0.7300
213	    93.22	 1.3700
214	    93.53	 3.2300
215	    93.99	 2.8980
216	    94.18	 9.9600
217	    94.30	 0.1790
218	    94.44	 1.5800
219	    95.03	 1.6700
220	    95.57	 0.4000
221	    95.74	 0.4150
222	    96.03	 0.9600
223	    96.21	 3.8350
224	    96.46	 2.4600
225	    97.42	 2.7870
226	    98.70	 1.1090
227	    99.23	 0.1800
228	    99.32	 1.2600
229	    99.57	 1.2400
230	    99.75	 1.4670
231	   100.89	 2.9300
232	   101.06	 2.1490
233	   101.12	 2.8000
234	   101.19	 1.8170
235	   101.48	 2.1810
236	   101.64	10.4600
237	   101.71	 0.5400
238	   102.00	 5.4210
239	   102.32	 0.3490
240	   102.98	 0.8060
241	   104.07	 2.6000
242	   106.60	 2.3200
243	   106.94	 1.0800
244	   107.23	 2.5230
245	   107.39	 0.3300
246	   107.53	 1.6400
247	   107.68	 6.0340
248	   107.76	 2.9690
249	   107.88	 2.2800
250	   107.93	 1.9500
251	   107.98	 6.2100
252	   108.47	 1.6100
253	   108.62	 0.7110
254	   108.66	 1.0100
255	   108.69	 1.0800
256	   109.48	 9.2300
257	   111.85	 1.4200
258	   112.88	 0.2780
259	   112.99	 2.6400
260	   113.64	 1.5450
261	   114.05	 0.2190
262	   114.14	 0.3910
263	   114.26	 3.1000
264	   115.05	 8.1400
265	   115.36	 0.4200
266	   115.83	 0.6800
267	   116.01	 0.9080
268	   117.52	 0.0680
270	   118.61	 1.9600
271	   118.94	 0.5200
272	   119.56	 0.5510
273	   120.12	 0.9800
274	   121.09	 2.2280
275	   121.11	 4.6140
276	   121.44	 2.2800
277	   121.68	 1.6000
278	   122.00	 2.2430
279	   122.41	 0.3990
280	   123.75	 2.6730
281	   124.83	 0.1190
282	   125.07	 1.7700
283	   125.11	 0.2660
284	   126.32	 1.4100
285	   126.44	 1.4790
286	   127.11	 0.9200
287	   127.20	 5.9390
288	   128.26	 1.0500
289	   128.58	 0.8960
290	   129.13	 0.3910
291	   129.53	 3.5810
292	   130.29	 6.6700
293	   131.33	 1.4990
294	   131.67	 1.2370
295	   132.68	 0.1130
296	   132.74	 2.3050
297	   134.83	 1.0220
298	   135.24	 2.0000
299	   136.60	 0.2020
300	   136.82	 0.6900
301	   137.01	 0.2200
302	   137.07	 0.2180
303	   137.14	 2.7300
304	   137.98	 8.0900
305	   138.07	 2.6300
306	   138.65	 1.2700
307	   138.69	 0.1400
308	   138.93	 0.4400
309	   139.10	 2.3800
310	   139.27	 1.5680
311	   139.73	 0.5300
312	   140.09	 6.3110
313	   140.91	 0.3600
314	   141.38	 0.4600
315	   142.11	 1.8820
316	   142.28	 2.3890
317	   142.87	 0.9890
318	   143.88	 0.3210
319	   145.06	 2.0600
320	   145.47	 3.3300
321	   146.29	 0.3260
322	   146.75	 0.6710
323	   148.06	 3.1200
324	   149.45	 3.4640
325	   149.51	 0.1790
326	   149.70	 0.9510
327	   149.82	15.0300
328	   149.93	 1.3600
329	   150.38	 2.9650
330	   151.06	 1.1400
331	   153.57	 0.5790
332	   154.46	 4.2600
333	   154.75	 0.9010
334	   154.82	 1.5200
335	   156.03	 0.1100
336	   156.44	 2.7330
337	   157.48	 0.2990
338	   158.64	 0.1110
339	   161.44	 0.9400
340	   162.11	 0.7170
341	   162.85	 1.9910
342	   163.06	 3.3300
343	   163.70	 0.2740
344	   164.31	 1.5430
345	   164.85	 0.4080
346	   165.62	 1.2990
