Run started at:  2/13/2009 2:35:42 PM
Event	Real Time (min)	Lifetime (microsec)
1	     0.25	 3.6030
2	     0.44	 0.7900
3	     1.48	 1.2380
4	     1.77	 1.6010
5	     2.05	 0.4600
6	     2.80	 2.1190
7	     3.13	 2.6100
8	     3.47	 3.2730
9	     4.51	 0.2800
10	     4.75	 0.1800
11	     5.02	 0.3830
12	     5.18	12.8550
13	     5.20	 3.9290
15	     5.80	 2.9190
16	     7.69	 5.6090
17	     7.77	 0.2700
18	     8.06	 1.8000
19	     8.41	 3.5400
20	     8.95	 1.2800
21	     9.08	 0.9200
22	     9.20	 0.3400
23	    10.31	 1.0900
24	    10.46	 1.3300
25	    10.92	 1.8300
26	    11.06	 0.7090
27	    11.75	 7.7500
28	    12.21	 2.6340
29	    12.48	 2.5800
30	    12.62	 1.4600
31	    13.21	 0.2970
32	    13.84	 2.7120
33	    14.08	 2.6910
34	    14.27	 0.1810
35	    14.39	 0.5800
36	    14.65	 2.4120
37	    15.11	 2.0990
38	    15.30	 0.4670
39	    16.47	10.0230
40	    17.23	 0.3710
41	    18.55	 5.5320
42	    19.14	 0.9580
43	    19.33	 2.2500
44	    19.67	 0.5420
45	    19.70	 1.0100
46	    20.69	 1.3400
47	    21.06	 0.6500
48	    23.14	 0.6900
49	    23.72	 0.2000
50	    23.91	 5.1750
51	    23.96	 3.2700
52	    24.84	 5.0820
53	    24.86	 0.9840
54	    26.65	 7.6390
55	    26.93	 3.8510
56	    27.28	 6.7700
57	    27.72	 0.7490
58	    28.40	 1.4200
59	    30.56	 0.1360
60	    30.68	13.4620
61	    30.74	 1.7300
62	    31.61	 6.2560
63	    32.74	 2.7010
64	    33.14	 0.1500
65	    33.77	 2.7900
66	    34.18	 0.6700
67	    34.33	 1.8210
68	    35.07	 2.0600
69	    35.70	 6.7290
70	    36.05	 1.0940
71	    38.06	 2.3500
72	    38.35	 2.2410
73	    38.63	 0.4140
74	    38.68	 3.0600
75	    39.42	 2.4800
76	    40.40	 0.7820
77	    40.62	 0.7200
78	    43.52	 0.1290
79	    43.64	 0.9100
80	    44.40	 0.3770
81	    44.89	 6.2300
82	    45.17	 7.6960
83	    45.89	 4.5060
84	    46.90	15.4900
85	    47.37	 0.9590
86	    48.90	 0.5670
87	    49.11	 1.9570
88	    49.73	 0.3700
89	    50.29	 5.8580
90	    50.54	 4.4310
91	    51.52	 5.2870
92	    52.21	 0.7300
93	    52.68	 3.9440
94	    52.87	 0.1930
95	    52.93	 1.5300
96	    52.95	 7.0000
97	    53.03	 2.6100
98	    53.30	 0.9900
99	    53.55	 0.8500
100	    54.18	 5.2090
101	    54.34	 3.3100
102	    54.46	 1.0750
103	    55.23	 2.9310
104	    55.89	 2.1570
105	    56.30	 1.5300
106	    56.57	 2.7700
107	    57.81	 0.1600
108	    57.84	 1.1070
109	    58.26	 0.8780
110	    58.50	 5.6330
111	    58.77	 0.6390
112	    59.03	 1.0700
113	    59.82	 0.5390
114	    60.36	 0.6000
115	    60.48	 0.4700
116	    62.66	 1.7870
117	    62.92	 0.4330
118	    63.49	10.4100
119	    63.75	 1.6500
120	    64.29	 5.1440
121	    64.90	 1.8220
122	    65.22	 0.7090
123	    65.38	 4.5100
124	    65.92	 0.9150
125	    66.19	 2.0730
126	    67.03	 1.2150
127	    68.59	 2.2660
128	    68.63	 2.7100
129	    69.07	 6.6260
130	    69.63	 4.7200
131	    69.99	 2.0140
132	    70.76	 0.7110
133	    71.59	 0.3490
134	    71.98	 0.9920
135	    72.33	 2.3800
136	    73.38	 1.8100
137	    75.74	 1.0690
138	    76.21	 5.4400
139	    76.99	 4.8300
140	    77.21	 0.9870
141	    77.45	 0.2600
142	    77.76	 3.6030
143	    77.81	 0.3400
144	    77.83	 8.5500
145	    77.92	 8.2710
146	    78.35	 2.6870
147	    78.44	 1.8100
148	    78.48	 2.3600
149	    78.92	 0.2820
150	    78.97	 0.2620
151	    78.99	 6.1960
152	    79.50	 3.5610
153	    79.72	 1.8800
154	    79.95	 0.9820
155	    80.19	 4.2620
156	    80.40	 0.1600
157	    82.31	15.4880
158	    82.66	 3.5090
159	    83.07	17.7500
160	    83.09	 7.8100
161	    83.27	 1.2600
162	    84.29	 0.8020
163	    84.87	 1.8440
164	    85.12	 0.5820
165	    86.15	 1.0910
166	    86.20	 3.6690
167	    86.28	 0.9940
168	    86.70	 0.3800
169	    87.09	 0.1140
170	    87.30	 5.7080
171	    88.04	 6.4700
172	    88.15	 1.8700
173	    89.04	 2.7720
174	    90.58	 1.0590
175	    90.97	 1.2210
176	    91.55	 0.4300
177	    91.70	 1.8780
178	    93.61	 1.5700
179	    94.10	16.6600
180	    94.91	 4.3910
181	    95.02	 2.2190
182	    95.27	 7.6900
183	    95.65	 2.8390
184	    96.32	 0.1120
185	    97.11	 1.7100
186	    97.67	11.8300
187	    98.16	 2.7990
188	    98.70	12.4840
189	    98.77	 4.8790
190	    99.73	 0.3400
191	    99.85	 5.1520
192	   100.19	 0.1400
193	   101.37	 1.4990
