Run started at:  2/5/2009 5:28:28 PM
Event	Real Time (min)	Lifetime (microsec)
1	     0.17	 5.2900
2	     0.34	 0.1200
3	     1.35	 0.8830
4	     2.02	 1.0130
5	     2.11	 1.8200
6	     2.45	 6.6590
7	     2.78	 5.7090
8	     2.87	 0.8010
9	     3.21	 1.1810
10	     3.55	 0.2700
11	     4.22	 0.7900
12	     4.31	 0.1190
13	     4.74	 0.4460
14	     5.41	 7.0500
15	     5.58	 2.8500
16	     5.75	 0.1190
17	     6.01	 3.3500
18	     6.76	 0.1180
19	     7.02	 7.6600
20	     7.36	 0.1200
21	     7.53	 4.8300
22	     7.87	 0.1210
23	     8.04	 1.5690
24	     8.63	 7.6010
25	     8.72	 0.2500
26	     8.81	 1.7700
27	     9.40	 0.5800
28	     9.74	 0.5460
29	    11.24	 0.8650
30	    12.42	 4.4100
31	    12.76	 0.1700
32	    13.01	 0.1270
33	    13.94	 1.2110
34	    14.28	 2.0930
35	    14.78	 1.9000
36	    14.95	 0.1320
37	    16.46	 0.2550
38	    16.55	 0.1200
39	    16.89	 1.2350
40	    17.06	 4.5500
41	    17.15	12.8810
42	    17.74	 1.6920
43	    17.83	 0.6300
44	    18.25	 0.4200
45	    18.34	 6.6600
46	    18.51	 2.1810
47	    19.60	 2.0480
48	    19.77	 0.2300
49	    20.28	 1.2200
50	    20.37	 5.2300
51	    21.12	 0.1580
52	    21.21	 1.5580
53	    21.55	 0.1160
54	    21.97	 0.1190
55	    22.56	 4.0400
56	    22.82	 0.2510
57	    23.32	 0.1200
58	    24.50	 2.8150
59	    25.42	 0.2000
60	    25.51	 3.4590
61	    28.60	 2.2700
62	    28.86	 1.6510
63	    28.94	 1.4300
64	    29.12	 1.7000
65	    29.37	 1.6770
66	    29.54	 0.1190
67	    30.30	 0.2240
68	    30.47	 0.8940
69	    31.98	 0.3330
70	    32.82	 6.8610
71	    32.91	 4.3500
72	    33.16	 0.7080
73	    33.25	 0.1200
74	    34.34	 0.2780
75	    34.60	 0.4150
76	    35.19	 2.0000
77	    35.53	 4.0010
78	    35.61	 2.7790
79	    36.45	 1.0500
80	    37.04	 1.9500
81	    37.63	 0.2390
82	    37.97	 0.7280
83	    38.73	 1.7330
84	    38.82	 1.1320
85	    39.49	 0.1710
86	    40.08	 1.7020
87	    40.42	 0.1310
88	    40.67	 0.3200
89	    40.76	 0.3500
90	    41.18	 1.3040
91	    41.36	 6.9410
92	    42.28	 0.7200
93	    43.03	 1.8100
94	    43.71	 0.5000
95	    44.05	 0.1200
96	    44.39	 4.7020
97	    45.39	 0.5300
98	    45.56	 0.1200
99	    46.15	 0.8190
100	    46.91	 0.7010
101	    47.08	 6.1200
102	    48.59	 0.1470
103	    49.01	 0.7300
104	    49.27	 2.8560
105	    49.35	 0.4950
106	    49.61	 6.1210
107	    49.70	 2.4880
108	    50.04	 0.2800
109	    50.46	 0.1200
110	    50.88	 0.9790
111	    50.97	 7.3490
112	    51.31	 0.5200
113	    51.90	 3.1860
114	    52.07	 1.6510
115	    52.83	 0.9240
116	    53.17	 1.5300
117	    53.84	 1.9690
118	    54.26	 0.2500
119	    54.68	 0.8100
120	    55.11	 0.1200
121	    55.36	 2.0090
122	    55.70	 1.7900
123	    56.54	 0.7000
124	    56.96	 2.4210
125	    57.30	 1.7360
126	    58.14	 0.1180
127	    58.40	 2.9500
128	    58.57	 3.9280
129	    58.99	 3.0600
130	    59.08	 3.0460
131	    60.17	 1.1290
132	    60.26	16.7800
133	    61.02	 0.6330
134	    62.61	 2.5800
135	    64.53	 6.1950
136	    65.45	 1.6700
137	    65.79	 4.0450
138	    67.38	 0.4200
139	    67.47	 4.7050
140	    67.97	 0.1290
141	    69.23	 1.2700
142	    69.65	 1.0000
143	    69.83	 0.8310
144	    69.91	 0.1450
145	    70.50	 1.2200
146	    71.01	 0.9400
147	    71.35	 0.7090
148	    71.69	 1.1400
149	    72.11	 0.1600
150	    72.70	 0.8980
151	    73.12	 0.1740
152	    73.54	 0.2900
153	    74.47	 0.6300
154	    75.47	 0.9500
155	    75.65	 0.4110
156	    75.82	 0.2000
157	    76.07	 0.1190
