A	B	C	D	E	F	G	H	I	J
0.10000	113.00								
0.20000	165.00								
0.30000	139.00								
0.40000	113.00								
0.50000	125.00								
0.60000	116.00								
0.70000	91.000								
0.80000	86.000								
0.90000	84.000								
1.0000	61.000								
1.1000	71.000								
1.2000	63.000								
1.3000	58.000								
1.4000	51.000								
1.5000	48.000								
1.6000	54.000								
1.7000	40.000								
1.8000	37.000								
1.9000	44.000								
2.0000	58.000								
2.1000	47.000								
2.2000	28.000								
2.3000	34.000								
2.4000	45.000								
2.5000	28.000								
2.6000	31.000								
2.7000	22.000								
2.8000	22.000								
2.9000	24.000								
3.0000	24.000								
3.1000	27.000								
3.2000	32.000								
3.3000	19.000								
3.4000	24.000								
3.5000	17.000								
3.6000	25.000								
3.7000	20.000								
3.8000	16.000								
3.9000	21.000								
4.0000	6.0000								
4.1000	17.000								
4.2000	9.0000								
4.3000	10.000								
4.4000	12.000								
4.5000	14.000								
4.6000	12.000								
4.7000	8.0000								
4.8000	7.0000								
4.9000	8.0000								
5.0000	16.000								
5.1000	8.0000								
5.2000	9.0000								
5.3000	13.000								
5.4000	10.000								
5.5000	8.0000								
5.6000	11.000								
5.7000	8.0000								
5.8000	8.0000								
5.9000	7.0000								
6.0000	5.0000								
6.1000	6.0000								
6.2000	7.0000								
6.3000	10.000								
6.4000	11.000								
6.5000	0.0000								
6.6000	1.0000								
6.7000	0.0000								
6.8000	0.0000								
6.9000	1.0000								
7.0000	0.0000								
7.1000	1.0000								
7.2000	0.0000								
7.3000	1.0000								
7.4000	0.0000								
7.5000	0.0000								
7.6000	1.0000								
7.7000	0.0000								
7.8000	0.0000								
7.9000	0.0000								
8.0000	0.0000								
